Date,Time,Weekday,Weekday_Name,UTC_Time,Volume,Open,High,Low,Close,O-H,O-L,O-C,H-L,H-C,L-C,Direction
2018-06-22,01:00:00,4,Friday,2018-06-22T01:00:00.000000000Z,5546,1.16115,1.1614799999999998,1.1599700000000002,1.1613,-0.00032999999999994145,0.0011799999999997368,-0.0001500000000000945,0.0015099999999996783,0.00017999999999984695,-0.0013299999999998313,UP
2018-06-22,05:00:00,4,Friday,2018-06-22T05:00:00.000000000Z,22573,1.16129,1.1672799999999999,1.16129,1.16683,-0.00598999999999994,0.0,-0.0055400000000001,0.00598999999999994,0.0004499999999998394,-0.0055400000000001,UP
2018-06-22,09:00:00,4,Friday,2018-06-22T09:00:00.000000000Z,18441,1.16678,1.16747,1.16313,1.16535,-0.0006900000000000794,0.003649999999999931,0.0014299999999998203,0.0043400000000000105,0.0021199999999998997,-0.0022200000000001108,DOWN
2018-06-22,13:00:00,4,Friday,2018-06-22T13:00:00.000000000Z,17782,1.1653200000000001,1.16658,1.16167,1.1647399999999999,-0.0012599999999998168,0.003650000000000153,0.000580000000000247,0.00490999999999997,0.0018400000000000638,-0.003069999999999906,DOWN
2018-06-22,17:00:00,4,Friday,2018-06-22T17:00:00.000000000Z,6121,1.1647299999999998,1.16669,1.1646,1.16544,-0.001960000000000184,0.00012999999999974143,-0.0007100000000002105,0.0020899999999999253,0.0012499999999999734,-0.0008399999999999519,UP
2018-06-24,21:00:00,6,Sunday,2018-06-24T21:00:00.000000000Z,6228,1.1661700000000002,1.1672,1.1651,1.1656,-0.0010299999999998644,0.0010700000000001264,0.0005700000000001815,0.0020999999999999908,0.0016000000000000458,-0.0004999999999999449,DOWN
2018-06-25,01:00:00,0,Monday,2018-06-25T01:00:00.000000000Z,7531,1.16556,1.166,1.16455,1.16515,-0.00043999999999999595,0.0010099999999999554,0.00041000000000002146,0.0014499999999999513,0.0008500000000000174,-0.0005999999999999339,DOWN
2018-06-25,05:00:00,0,Monday,2018-06-25T05:00:00.000000000Z,17784,1.1652,1.1670399999999999,1.16277,1.16584,-0.0018399999999998418,0.002429999999999932,-0.0006399999999999739,0.004269999999999774,0.0011999999999998678,-0.003069999999999906,UP
2018-06-25,09:00:00,0,Monday,2018-06-25T09:00:00.000000000Z,15370,1.16583,1.17012,1.16384,1.1681700000000002,-0.004290000000000127,0.0019899999999999363,-0.002340000000000231,0.006280000000000063,0.0019499999999998963,-0.004330000000000167,UP
2018-06-25,13:00:00,0,Monday,2018-06-25T13:00:00.000000000Z,12740,1.16822,1.17013,1.16707,1.16911,-0.0019099999999998563,0.0011499999999999844,-0.0008900000000000574,0.0030599999999998406,0.0010199999999997988,-0.0020400000000000418,UP
2018-06-25,17:00:00,0,Monday,2018-06-25T17:00:00.000000000Z,6177,1.16906,1.17127,1.16906,1.1700700000000002,-0.0022100000000000453,0.0,-0.0010100000000001774,0.0022100000000000453,0.0011999999999998678,-0.0010100000000001774,UP
2018-06-25,21:00:00,0,Monday,2018-06-25T21:00:00.000000000Z,4811,1.17012,1.17098,1.16971,1.17035,-0.0008599999999998609,0.00041000000000002146,-0.00022999999999995246,0.0012699999999998823,0.0006299999999999084,-0.0006399999999999739,UP
2018-06-26,01:00:00,1,Tuesday,2018-06-26T01:00:00.000000000Z,7363,1.17038,1.172,1.17003,1.17137,-0.0016199999999999548,0.0003500000000000725,-0.0009900000000000464,0.0019700000000000273,0.0006299999999999084,-0.0013400000000001189,UP
2018-06-26,05:00:00,1,Tuesday,2018-06-26T05:00:00.000000000Z,17503,1.1714,1.17181,1.16687,1.1672200000000001,-0.00041000000000002146,0.004529999999999923,0.0041799999999998505,0.0049399999999999444,0.004589999999999872,-0.0003500000000000725,DOWN
2018-06-26,09:00:00,1,Tuesday,2018-06-26T09:00:00.000000000Z,19330,1.1672,1.16838,1.1650399999999999,1.16705,-0.0011799999999999589,0.002160000000000162,0.0001500000000000945,0.0033400000000001207,0.0013300000000000534,-0.0020100000000000673,DOWN
2018-06-26,13:00:00,1,Tuesday,2018-06-26T13:00:00.000000000Z,14720,1.16707,1.1676799999999998,1.1649100000000001,1.16575,-0.0006099999999997774,0.0021599999999999397,0.0013199999999999878,0.002769999999999717,0.0019299999999997652,-0.0008399999999999519,DOWN
2018-06-26,17:00:00,1,Tuesday,2018-06-26T17:00:00.000000000Z,7466,1.1657,1.16602,1.16341,1.16435,-0.000320000000000098,0.0022899999999999032,0.0013499999999999623,0.002610000000000001,0.0016700000000000603,-0.0009399999999999409,DOWN
2018-06-26,21:00:00,1,Tuesday,2018-06-26T21:00:00.000000000Z,3830,1.1642700000000001,1.1653799999999999,1.1642700000000001,1.16536,-0.0011099999999997223,0.0,-0.0010899999999998133,0.0011099999999997223,1.999999999990898e-05,-0.0010899999999998133,UP
2018-06-27,01:00:00,2,Wednesday,2018-06-27T01:00:00.000000000Z,8073,1.16531,1.16638,1.16488,1.1654,-0.0010699999999999044,0.0004300000000001525,-8.999999999992347e-05,0.0015000000000000568,0.0009799999999999809,-0.000520000000000076,UP
2018-06-27,05:00:00,2,Wednesday,2018-06-27T05:00:00.000000000Z,16004,1.1654200000000001,1.16714,1.1622700000000001,1.1627,-0.0017199999999999438,0.003149999999999986,0.0027200000000000557,0.00486999999999993,0.0044399999999999995,-0.00042999999999993044,DOWN
2018-06-27,09:00:00,2,Wednesday,2018-06-27T09:00:00.000000000Z,21776,1.16266,1.1643,1.15934,1.15964,-0.0016399999999998638,0.0033199999999999896,0.0030200000000000227,0.004959999999999853,0.0046599999999998865,-0.00029999999999996696,DOWN
